Name,Address,Price,Rating
lampu meja belajar / lampu baca arsitek JM-800,Surabaya,Rp115.000,4.7
EELIC Lampu meja belajar /baca aristek 800,Surabaya,Rp110.000,4.7
Eelic - Bohlam DC 12V LED 5 Watt 1.5 Meter kabel,Surabaya,Rp6.800,4.9
FITING LAMPU E27 BAGUS RUMAH LAMPU PLAFON 771,Surabaya,Rp5.000,4.9
EELIC 224 SMD LED Hijau Multifungsi Alat Electronik Pengusir Nyamuk / Lampu tidur - Mosquito Repellent Lamp,Surabaya,Rp9.500,4.4
Lampu Taman Tenaga Surya - Lampu Taman Solar Cell 2 in 1 A647,Jakarta Barat,Rp49.000,4.8
EELIC 224 SMD LED Biru Muda Multifungsi Alat Electronik Pengusir Nyamuk / Lampu tidur - Mosquito Repellent Lamp,Surabaya,Rp9.500,4.5
Kenmaster Raket Nyamuk - Senter Magic Blue LED,Kab. Bekasi,Rp55.005,4.8
Fiting Lampu Sensor,Tangerang Selatan,Rp25.000,4.5
EELIC FIG-R7S FITTING LAMPU HALOGEN DUDUKAN LAMPU STICK HALOGEN 110-250V 1500W COCOK DIGUNAKAN UNTUK LAMPU HALOGEN 300W,Surabaya,Rp17.000,4.6
Pipa air dingin setengah inci pipa putih 16 mm pipa dekorasi pipa lampu hias 1216,Jakarta Pusat,Rp9.500,5
Lampu Sorot Teras Tenaga Surya Lampu Sorot Taman Solar Cell A596,Jakarta Barat,Rp143.000,4.7
"EELIC JM 100LP Lampu Hias LED, Cocok Digunakan Untuk Hiasan Pohon Natal dan Dekorasi",Surabaya,Rp17.000,5
EELIC LAU-HALOGEN CAHAYA KUNING LAMPU HALOGEN LAMPU STICK HALOGEN 150 WATT 220-240 V CAHAYA TERANG,Surabaya,Rp13.000,4.8
EELIC LSM-6LED Lampu Solar Dinding Taman Berkualitas,Surabaya,Rp31.000,5
MNI LAMP lampu JM-999,Surabaya,Rp7.600,5
MNI LAMP lampu JM-995,Surabaya,Rp7.600,5
Lampu meja belajar desk lamp lampu baca lampu kerja lampu duduk 220v kabel 1.5m 60 watt   switch arsitek JM-108S,Surabaya,Rp37.500,4.8
EELIC Jepit Spare untuk Lampu meja - baca - blanjar Arsitek JM-800,Surabaya,Rp8.000,4.7
EELIC CAHAYA TERANG BOHLAM LAMPU LED SIP LITE Globe 60mm S-5 Watt pUTIH,Surabaya,Rp16.500,4.8
EELIC 224 SMD LED Kuning Multifungsi Alat Electronik Pengusir Nyamuk / Lampu tidur - Mosquito Repellent Lamp,Surabaya,Rp9.500,5
100lp 4M Lampu hias natal dekorasi BERAS 5 jalur switch 8 macam,Surabaya,Rp15.000,4.7
EELIC PET-13CM HITAM JEPIT MULTIFUNGSI PENJEPIT LAMPU DINDING ALAT BANTU JEPIT PENJEPIT MEJA JEPIT LAMPU MEJA JM-800,Surabaya,Rp6.000,4.9
EELIC LHG-115 Isi 2 pcs lampu hias gantung cafe klasik minimalis desain modern kabel flexible,Surabaya,Rp78.000,4.9
EELIC FIG-HALOGEN MIX FITTING R7S DAN LAMPU HALOGEN 100W DUDUKAN LAMPU STICK HALOGEN 110-250V 100W LAMPU HALOGEN LAMPU STICK HALOGEN 100 WATT 220-230V,Surabaya,Rp25.000,4.9
EELIC ELC-J014 LAMPU MEJA JEPIT BELAJAR LAMPU MEJA ARSITEK LAMPU KERJA JEPIT DESAIN MODERN MULTIFUNGSI,Surabaya,Rp97.000,4.9
Lampu Emergency SURYA SQL L2207 LED Portable Senter Rechargeable Charger Cas Darurat Emergensi Lamp,Bandung,Rp30.900,5
EELIC Lampu Meja - Baca - Belajar Jepit Switch JM-108S Menguing,Surabaya,Rp37.500,4.8
EELIC 224 SMD LED Merah Multifungsi Alat Electronik Pengusir Nyamuk / Lampu tidur - Mosquito Repellent Lamp,Surabaya,Rp9.500,4.4
EELIC LAU-M15W LAMPU LED CAHAYA PUTIH CAHAYA TERANG BOHLAM LAMPU LED 15 WATT,Surabaya,Rp13.000,4.7
EELIC LAU-CK6601 LAMPU MINI LED DOWNLIGHT CAHAYA PUTIH HANGAT 4000K MINI LED SPOTLIGHT LED DISPLAY CABINET LAMPU SOROT MINI BERDAYA 1 WATT,Surabaya,Rp47.000,5
"EELIC, JM 200L Lampu Hias Beras Jumbo, Lampu Hias Natal, Lampu Dekor 5 Jalur Switch.",Surabaya,Rp30.500,4.7
"EELIC, JM 100L Lampu Hias Beras Jumbo, Lampu Hias Natal, Lampu Dekor 5 Jalur Switch.",Surabaya,Rp22.100,4.6
100lp 6M Lampu hias natal dekorasi LED 5 jalur switch 8 macam,Surabaya,Rp17.000,4.8
EELIC LHG-75 HITAM LAMPU HIAS GANTUNG MODERN LAMPU HIAS GANTUNG TIANG FLEXIBLE MEMPERCANTIK SETIAP RUANGAN RUMAH DESAIN INTERIOR MODERN,Surabaya,Rp96.000,4.8
EELIC LAU-CK6621 LAMPU MINI LED DOWNLIGHT CAHAYA PUTIH HANGAT 4000K MINI LED SPOTLIGHT LED DISPLAY CABINET LAMPU SOROT MINI BERDAYA 1 WATT,Surabaya,Rp47.000,4.8
EELIC Lampu Meja - Baca - Belajar Jepit Switch JM-108S Ungu,Surabaya,Rp41.000,4.6
EELIC LHG-88 LAMPU HIAS GANTUNG MANIK CRYSTAL BENTUK SPIRAL DESAIN MODERN COCOK UNTUK MEMPERCANTIK RUANGAN RUMAH ANDA,Surabaya,Rp252.000,4.9
EELIC LAU-HALOGEN CAHAYA KUNING LAMPU HALOGEN LAMPU STICK HALOGEN 500 WATT 220-240 V SINAR CAHAYA SANGAT TERANG HEMAT ENERGI FITTING R7s,Surabaya,Rp13.000,4.9
EELIC LAU-I5W -3000K CAHAYA KUNING TERANG BOHLAM LAMPU LED INS Awet Dan Tahan Lama,Surabaya,Rp15.000,5
EELIC JM-203S HITAM LAMPU MEJA BELAJAR DESK LAMP TABLE LAMP LAMPU BACA LAMPU KERJA LAMPU DUDUK DAN HEMAT ENERGI 220V FITTING E27,Surabaya,Rp45.000,4.9
LAMPU HIAS NATAL LAMPU SELANG 10M ROPE LIGHT,Surabaya,Rp125.000,4.8
EELIC LAU-T5-6W PL-Lampu UV Lampu Mesin Pendeteksi Uang dengan Daya 6W 220V .50Hz,Surabaya,Rp17.000,4.9
EELIC ELC-J007 HITAM LAMPU MEJA FLEXIBLE JEPIT LAMPU JEPIT LAMPU ELASTIS BAHAN STAINLESS STEEL,Surabaya,Rp42.000,4.9
EELIC LHG-77 LAMPU HIAS GANTUNG MANIK CRYSTAL LAMPU HIAS MANIK KRISTAL DESAIN ELEGANT DAN MEWAH,Surabaya,Rp181.000,4.7
EELIC LAU-M20W LAMPU LED CAHAYA PUTIH CAHAYA TERANG BOHLAM LAMPU LED 20 WATT,Surabaya,Rp17.000,4.7
Lampu meja belajar JM-108S,Surabaya,Rp37.500,4.8
Lampu Tumblr ATAU Lampu Natal LED ATAU Twinkle Light ATAU Lampu Dekorasi Hias,Jakarta Barat,Rp15.500,4.3
Kadonio lampu soket E27 universal converter soket colokan lampu selang dengan sakelar sekrup soket lampu dinding LED soket lampu,Jakarta Utara,Rp19.000,4.8
"EELIC, JM-800 + Jepit + Sip Lite 7 Watt Lampu Meja Belajar Arsitek, Desk Lamp, Lampu Kerja Lampu Baca.",Surabaya,Rp130.000,4.7
EELIC CAHAYA TERANG BOHLAM LAMPU LED SIP LITE Globe 90mm S-12 Watt PUTIH,Surabaya,Rp33.000,5
EELIC Lampu meja belajar / baca  JM-8808S,Surabaya,Rp43.000,4.9
EELIC ELC-FP01 PUTIH Fitting Lampu Meja Fitting Portabel Fitting Keramik Bulat Ukuran E27 & Saklar On Off,Surabaya,Rp16.000,4.7
EELIC DOL-KSK2206 LUXURY 6W CAHAYA PUTIH COB LED  DOWNLIGHT COCOK UNTUK RUMAN DAN APLIKASI KOMERSIAL,Surabaya,Rp57.000,5
EELIC ELC-J004 HITAM LAMPU MEJA -BACA - BELAJAR JEPIT FLEXIBLE BAHAN BERKUALITAS MULTIFUNGSI,Surabaya,Rp20.000,4.7
EELIC LAU-Z3W -7000K CAHAYA PUTIH TERANG BOHLAM LAMPU LED Awet Dan Tahan Lama,Surabaya,Rp6.000,4.6
EELIC Lampu PL-LED 3W Refil Untuk Lampu Meja 3 Watt PL LED,Surabaya,Rp22.500,4.8
EELIC LAU-MST5 CAHAYA PUTIH 6500K DAYA 15WATT LAMPU LED T5 LAMPU NEON TUBE LAMPU SPLIT T5 TUBE LAMPU ENERGY SAVING LAMPU PANJANG BERKUALITAS,Surabaya,Rp33.000,5
EELIC CAHAYA TERANG BOHLAM LAMPU LED SIP LITE Globe 50mm S-3 Watt PUTIH,Surabaya,Rp15.500,4.6
FITING LAMPU JIAMEI KERAMIK E27 BAGUS RUMAH LAMPU PLAFON 883,Surabaya,Rp5.500,Terjual 46
EELIC LAU-MST5 CAHAYA PUTIH 6500K DAYA 6WATT LAMPU LED T5 LAMPU NEON TUBE LAMPU SPLIT T5 TUBE LAMPU ENERGY SAVING LAMPU PANJANG BERKUALITAS,Surabaya,Rp21.000,4.8
EELIC CAHAYA TERANG BOHLAM LAMPU LED SIP LITE Globe 70mm S-7 Watt PUTIH,Surabaya,Rp22.000,5
EELIC LHG-80 SILVER LAMPU HIAS GANTUNG CRYSTAL DESAIN INTERIOR MODERN COCOK UNTUK MEMPERINDAH RUANGAN RUMAH ANDA,Surabaya,Rp90.000,4.8
EELIC CAHAYA TERANG BOHLAM LAMPU LED SIP LITE Globe 80mm S-9 Watt PUTIH,Surabaya,Rp26.000,4.5
EELIC FIG-315 1 PCS FITING GANTUNG FITTING LAMPU KAP LAMPU GANTUNG BAHAN BERKUALITAS TINGGI,Surabaya,Rp6.000,5
EELIC ELC-M003 LAMPU MEJA LAMPU BELAJAR LAMPU BACA DESK LAMP LAMPU MEJA MULTIFUNGSI TIANG LEHER LAMPU DAPAT DITINGGIKAN,Surabaya,Rp52.000,4.9
EELIC LAU-CK6601 LAMPU MINI LED DOWNLIGHT CAHAYA PUTIH 6500K MINI LED SPOTLIGHT LED DISPLAY CABINET LAMPU SOROT MINI BERDAYA 1 WATT,Surabaya,Rp47.000,5
FITING LAMPU JIAMEI KERAMIK E27 BAGUS RUMAH LAMPU PLAFON 881,Surabaya,Rp5.500,5
EELIC ELC-J001 GOLD LAMPU MEJA -BACA - BELAJAR JEPIT FLEXIBLE BAHAN BERKUALITAS,Surabaya,Rp32.000,4.7
EELIC FIF-C3013 HIJAU FITTING COLOK FITTING FLEXIBLE LAMP HOLDER E-27 LAMPU HOLDER FLEXIBLE MULTIFUNGSI AWET DAN KUAT,Surabaya,Rp19.000,5
EELIC LAU-LFL50W LED FLOOD LIGHT LAMPU SOROT 50 WATT KAP SMD CAHAYA PUTIH IP65 WATERPROOF ANTI AIR DAN DEBU HEMAT ENERGI,Surabaya,Rp39.000,4.8
EELIC Lampu Meja - Baca - Belajar Switch JM-203S Hijau,Surabaya,Rp45.000,4.7
EELIC LAU-KSK627S Led candle lamp lampu lilin mini E27 daya 5 watt cahaya putih 6500K,Surabaya,Rp15.000,5
EELIC SAK-E2730CM KAP LAMPU BENTUK BULAT KAP LAMPU OUTDOOR KAP LAMPU JALAN KAP LAMPU TAMAN KAP LAMPU KLASIK KAP LAMPU UNIK ALUMINIUM DAN FITTING,Surabaya,Rp24.000,5
140LP 9M Lampu hias natal dekorasi LED 5 jalur switch 8 macam,Surabaya,Rp37.000,4.8
FITING LAMPU E27 BAGUS RUMAH LAMPU PLAFON 772,Surabaya,Rp5.000,5
EELIC LHG-63 LAMPU HIAS GANTUNG KAP KLASIK MODERN LAMPU HIAS CAFE DESAIN INTERIOR MODERN COCOK UNTUK CAFE TERAS RUANG MAKAN,Surabaya,Rp81.000,4.6
"EELIC, JM 140L Lampu Hias Beras Jumbo, Lampu Hias Natal, Lampu Dekor 5 Jalur Switch.",Surabaya,Rp26.000,Terjual 31
EELIC JM-108S LAMPU MEJA BELAJAR JEPIT DESK LAMP TABLE LAMP LAMPU BACA JEPIT LAMPU KERJA JEPIT LAMPU DUDUK LAMPU MEJA MULTIFUNGSI,Surabaya,Rp38.000,5
EELIC ELC-FP01 HITAM Fitting Lampu Meja Fitting Portabel Fitting Keramik Bulat Ukuran E27 & Saklar On Off,Surabaya,Rp16.000,4.9
EELIC ELC-J022 LAMPU ARSITEK STANDING LAMP LAMPU BELAJAR ARSITEK MODEL BERDIRI LAMPU ARSITEK TINGGI DESAIN INTERIOR,Surabaya,Rp152.000,5
EELIC LAU-MSSMD LED FLOOD LIGHT LAMPU SOROT 10 WATT KAP SMD CAHAYA PUTIH 6500K JENIS LAMPU SMD JUMLAH LAMPU 72 PCS IP66 WATERPROOF ANTI AIR,Surabaya,Rp36.000,4.8
FITING LAMPU JIAMEI KERAMIK E27 BAGUS RUMAH LAMPU PLAFON 882,Surabaya,Rp5.500,5
EELIC JIAMEI JM-800J Hitam Lampu Meja - Baca - Belajar - Jepit Arsitek JM-800 & LED 5 WATT Cahaya Kuning,Surabaya,Rp120.000,4.8
EELIC LHG-66 LAMPU HIAS GANTUNG CRYSTAL FITTING PLAFON MEMBERI KESAN ELEGANT DAN MEWAH DESAIN INTERIOR MODERN,Surabaya,Rp121.000,4.6
EELIC LHG-87 SILVER LAMPU HIAS GANTUNG MANIK CRYSTAL LAMPU HIAS MANIK KRISTAL DESAIN INTERIOR MODERN,Surabaya,Rp181.000,4.7
EELIC LHG-113 Lampu hias gantung manik crystal bentuk spiral desain interior mix lampu 5 watt LAU-Z5W,Surabaya,Rp257.000,4.7
EELIC SAR-323 HITAM 1 PCS SAKLAR ON-OFF SAKLAR GANTUNG SERI ON OFF SWITCH LAMPU PEMUTUS ALIRAN LISTRIK DAN PENYAMBUNG LISTRIK 3A-250V,Surabaya,Rp6.000,5
"EELIC, JM-800 + Jepit + Sip Lite 5 Watt Lampu Meja Belajar Arsitek, Desk Lamp, Lampu Kerja Lampu Baca.",Surabaya,Rp125.000,4.8
EELIC LHG-60 HITAM LAMPU HIAS GANTUNG FLEXIBLE LAMPU HIAS GANTUNG LIMA KAP DENGAN SELANG FLEXIBLE YANG BISA DIUBAH ARAHNYA DESAIN MODERN MULTIFUNGSI,Surabaya,Rp121.000,4.9
EELIC KABPEM10 10W 3000K KUNING - WARM WHITE LAMPU SOROT - FLOOD LIGHT SMD LED,Surabaya,Rp74.000,5
EELIC LAU-HALOGEN CAHAYA KUNING LAMPU HALOGEN LAMPU STICK HALOGEN 1000 WATT 220-240 V SINAR CAHAYA TERANG,Surabaya,Rp15.000,4.9
EELIC FIG-HALOGEN MIX FITTING R7S DAN LAMPU HALOGEN 300W DUDUKAN LAMPU STICK HALOGEN 110I250V 1500W 220-230V,Surabaya,Rp26.000,5
EELIC PBD-APBB25  PUSH ON OFF APBB-22&25 DOUBLE BUTTON DENGAN LAMPU LED MERAH HIJAU,Surabaya,Rp41.000,5
EELIC LFC-828 PINK UNGU BOHLAM LAMPU CAHAYA TERANG HEMAT ENERGY MINI LAMP LAMPU TIDUR AWET DAN TAHAN LAMA MIX FITTING COLOK E27 FIC-E27L,Surabaya,Rp13.000,4.7
EELIC ELC-J013R RANGKA LAMPU MEJA JEPIT RANGKA LAMPU MEJA ARSITEK MEJA BELAJAR DESAIN MODERN MULTIFUNGSI,Surabaya,Rp72.000,4.5
EELIC BRT-JDF03 BRACKET TV LED 14INCH-27INCH WALL BRAKET UNIVERSAL TV WALL MOUNT ADJUSTABLE,Surabaya,Rp70.000,4.6
EELIC LAS-SL8772D PUTIH LAMPU SENTER MAGNET DIMMER LED LAMPU DINDING LAMPU TIDUR LAMPU LAMPU DINDING SAKLAR CAMPING MULTIFUNGSI,Surabaya,Rp26.000,5
EELIC lampu meja belajar / baca Dimmer JM-108D,Surabaya,Rp43.000,4.7
EELIC ELC-J008 HITAM LAMPU MEJA JEPIT KAP FLEXIBLE LAMPU JEPIT LAMPU ELASTIS BAHAN STAINLESS STEEL,Surabaya,Rp56.000,4.9
EELIC FIF-29CM FITTING FLEXIBLE LAMPU HOLDER E-27 FLEXIBLE EXTENSION FLEXIBLE EXTENSION E-27,Surabaya,Rp22.000,5
EELIC ELC-J008 SILVER LAMPU MEJA JEPIT KAP FLEXIBLE LAMPU JEPIT LAMPU ELASTIS BAHAN STAINLESS STEEL,Surabaya,Rp56.000,4.5
EELIC JM-3005 Abu-Abu Lampu Meja - Baca - Belajar PL LED 4W,Surabaya,Rp80.000,4.4
EELIC LAU-T20E17 Lampu bohlam pijar T20 jenis fitting E17 daya 15W 220V untuk oven kulkas,Surabaya,Rp6.000,5
EELIC LHG-62 GOLD LAMPU HIAS GANTUNG KIPAS FLEXIBLE LAMPU HIAS GANTUNG LIMA KAP DENGAN SELANG FLEXIBLE,Surabaya,Rp181.000,4.9
EELIC LHG-76 GOLD LAMPU HIAS GANTUNG CRYSTAL BENTUK SPIRAL MEMBERI KESAN ELEGANT DAN MEWAH DESAIN INTERIOR MODERN,Surabaya,Rp151.000,4
EELIC Lampu PL-LED 5W Refil Dari Lampu Meja 5 Watt PL LED,Surabaya,Rp25.500,4.8
EELIC DOL-CKM3103B HITAM LED DOWNLIGHT BULAT LED MAGNET LIGHT LAMPU DOWNLIGHT LAMPU PLAFON CAHAYA PUTIH 6500K DAYA 3 WATT,Surabaya,Rp36.000,5
Lampu meja belajar JM-203D dimmer,Surabaya,Rp50.000,4.9
EELIC FLR-CARBON FILTER AIR KARBON AKTIF 10 INCH CARTRIDGE WATER FILTER PENJERNIH AIR SUMUR AIR LEDENG AIR,Surabaya,Rp51.000,4.9
EELIC Lampu Meja - Baca - Belajar Jepit Dimmer JM-108D Merah Muda,Surabaya,Rp43.000,4.3
EELIC LHG-150 Lampu Hias Gantung yang memiliki 5 Fitting lampu hias rangka besi berkualitas lampu hias classic,Surabaya,Rp91.000,4.8
EELIC LHG-113 Lampu hias gantung manik crystal bentuk spiral desain interior,Surabaya,Rp252.000,5
EELIC LAU-SCSMD -50W Lampu sorot pancaran led flood light 50 watt jumlah lampu smd 28 pcs cahaya putih 6500k ip66 waterproff,Surabaya,Rp65.000,5
EELIC LAU-Z7W -7000K CAHAYA PUTIH TERANG BOHLAM LAMPU LED Awet Dan Tahan Lama,Surabaya,Rp11.000,5
EELIC LHG-235 Lampu hias gantung tempel dinding pipa classic dengan desain modern + 1 pcs lampu led (LAU-Z5W) 5 WATT cahaya putih,Surabaya,Rp80.000,5
EELIC Lampu Meja - Baca - Belajar Jepit Switch JM-108S Merah Muda,Surabaya,Rp37.500,4.5
EELIC ELC-J017 LAMPU ARSITEK STANDING LAMP LAMPU BELAJAR ARSITEK MODEL BERDIRI DESAIN MODERN PORTABLE MULTIFUNGSI,Surabaya,Rp192.000,4.8
EELIC JIAMEI JM-8808S Kuning Lampu Meja - Baca - Belajar  Bahan berkualitas,Surabaya,Rp43.000,4.8
EELIC JIAMEI JM-144LP LAMPU HIAS LED TIRAI WARNA PUTIH,Surabaya,Rp66.000,4.8
EELIC T5-4W PL-Lampu UV Lampu Mesin Pendeteksi Uang dengan Daya 4W 220V /50Hz,Surabaya,Rp20.000,5
Eelic - Bohlam DC 12V LED 9 Watt 1.5 Meter kabel,Surabaya,Rp9.600,5
EELIC ELC-J016 LAMPU MEJA JEPIT ARSITEK LAMPU MEJA BELAJAR DESK LAMP TABLE LAMP MODERN MULTIFUNGSI,Surabaya,Rp102.000,5
EELIC LAS-CJ329B KUNING CAHAYA PUTIH LAMPU SENTER COB EMERGENCY RECHARGEABLE SENTER CAMPING MULTIFUNGSI,Surabaya,Rp76.000,4.6
Lampu Tidur Led 3D Menara Eiffel,Tangerang Selatan,Rp150.000,5
Lampu disco putar led E27 disko pesta warna warni unik murah,Surabaya,Rp25.000,5
EELIC JM-10M-LED Lampu Hias Selang 8 Variasi 23 LED/Meter Lampu Indoor/Outdoor Tahan Air dan Kuat Warna Lebih Terang Indah,Surabaya,Rp125.000,4.8
EELIC ELC-J008 GOLD LAMPU MEJA JEPIT KAP FLEXIBLE LAMPU JEPIT LAMPU ELASTIS BAHAN STAINLESS STEEL,Surabaya,Rp56.000,4.8
EELIC LAU-T20E14 Lampu bohlam pijar T20 jenis fitting E14 daya 15W 220V untuk oven kulkas,Surabaya,Rp6.000,5
EELIC DOL-CKM3208S LED DOWNLIGHT BULAT LAMPU DOWNLIGHT LAMPU PLAFON CAHAYA PUTIH 6500K DAYA 8 WATT,Surabaya,Rp71.000,5
EELIC ELC-J012 LAMPU MEJA JEPIT LAMPU ARSITEK LAMPU BELAJAR LAMPU KERJA DESAIN MODERN PORTABLE MULTIFUNGSI,Surabaya,Rp82.000,4.9
Uchida Ceiling Fan Kipas Angin Gantung Di Plafon Dengan Lampu Hias,Tangerang Selatan,Rp967.500,5
EELIC LAU-SCSMD -20W Lampu sorot pancaran led flood light 20 watt jumlah lampu smd 12 pcs cahaya putih 6500k ip66 waterproff,Surabaya,Rp38.000,5
EELIC KUN-S5X10MM STREP KUNINGAN STRIP KUNINGAN PLAT STREP KUNINGAN DENGAN PANJANG 20 CM COCOK DIGUNAKAN UNTUK ALAT-ALAT LAMPU DAN MESIN DIY,Surabaya,Rp26.000,4.8
Lampu meja belajar JM-8808S,Surabaya,Rp43.000,4.8
EELIC DKL-MG16129 DUDUKAN SOLDER PEGANGAN DUDUKAN KACA PEMBESAR  LAMPU LED SOLDER JEPITAN SOLDER  AC DC INTERCHANGEABLE MULTIFUNGSI,Surabaya,Rp162.000,4.6
Lampu meja belajar / lampu baca SWITCH JM-203S,Surabaya,Rp45.000,4.3
EELIC ELC-J001 MERAH LAMPU MEJA -BACA - BELAJAR JEPIT FLEXIBLE BAHAN BERKUALITAS,Surabaya,Rp32.000,3.8
EELIC ELC-FP01 SILVER Fitting Lampu Meja Fitting Portabel Fitting Keramik Bulat Ukuran E27 & Saklar On Off,Surabaya,Rp16.000,3.5
EELIC DOL-CKM3103B PUTIH LED DOWNLIGHT BULAT LED MAGNET LIGHT LAMPU DOWNLIGHT LAMPU PLAFON CAHAYA PUTIH 6500K DAYA 3 WATT,Surabaya,Rp36.000,5
EELIC JIAMEI JM-108S Biru Lampu Meja - Baca - Belajar Jepit & LED 7 WATT Bahan berkualitas,Surabaya,Rp46.000,5
Obeng Bolak Balik Testpen Test Pen Tespen Alat Tes Listik Lampu AC Screwdriver Kelistrikan,Jakarta Utara,Rp7.500,5
EELIC JM-108H LAMPU MEJA JEPIT FLEXIBLE LAMPU FLEXIBLE LAMPU MULTIFUNGSI AWET DAN KUAT,Surabaya,Rp35.000,5
EELIC LHG-109 MIX isi 3 pcs Lampu Hias Gantung Klasik E27 Lighting Decor Vintage Lampu Cafe Berkualitas & 3 Pcs Lampu LED 5 Watt,Surabaya,Rp53.000,4.6
EELIC SF-3A Lampu Sunflower LED Light. Lampu Hias Dinding. Disco LED Warna-warni Hemat Energi dan Mudah Pemasangannya,Surabaya,Rp60.000,4.7
EELIC LFC-Z3W putih CAHAYA TERANG BOHLAM LAMPU LED HEMAT ENERGY 90 PERSEN MINI LAMP LAMPU TIDUR AWET DAN TAHAN LAMA MIX FITTING COLOK E27 FIC-E27L,Surabaya,Rp14.000,4.6
EELIC LAU-F10W LAMPU LED CAHAYA PUTIH CAHAYA TERANG BOHLAM LAMPU LED 10 WATT,Surabaya,Rp3.700,5
Osram Lampu Bohlam LED 12 Watt Putih - Paket isi 3pcs,Kab. Bekasi,Rp77.805,4.9
EELIC Adaptor / Travol Lampu Strip DC 12V 3A TRLS3212V,Surabaya,Rp50.000,4
Surya Lampu Senter Emergency LED Rechargeable - SYT L101,Kab. Bekasi,Rp33.155,4.9
